Time,Device,B_hat,J_m,Best_Js,Target_MEC,J_d,p_L,p_U,p_0,Init_Mode,Final_Mode,Cost,Energy
6,6,-0.002833,7.082506e-08,5.737146e-08,5,2.000000e-08,2.822791e-01,1.000000e+00,1.073390e-03,3,3,2.000000e-03,0.000000e+00
6,7,-0.002833,7.083166e-08,5.732471e-08,4,2.000000e-08,3.052714e-01,1.000000e+00,9.222925e-04,3,3,2.000000e-03,0.000000e+00
6,8,-0.002880,7.176050e-08,5.833866e-08,8,2.000000e-08,2.701695e-01,1.000000e+00,1.154810e-03,3,3,2.000000e-03,0.000000e+00
7,4,-0.002876,7.168092e-08,5.873141e-08,6,2.000000e-08,1.649341e-01,1.000000e+00,2.913088e-03,3,3,2.000000e-03,0.000000e+00
7,6,-0.002819,7.054060e-08,5.710234e-08,6,2.000000e-08,2.763025e-01,1.000000e+00,1.123518e-03,3,3,2.000000e-03,0.000000e+00
7,7,-0.002831,7.079125e-08,5.750974e-08,5,2.000000e-08,2.271171e-01,1.000000e+00,1.642019e-03,3,3,2.000000e-03,0.000000e+00
7,8,-0.002833,7.081228e-08,5.744622e-08,2,2.000000e-08,2.512392e-01,1.000000e+00,1.348406e-03,3,3,2.000000e-03,0.000000e+00
7,9,-0.002852,7.120993e-08,5.812404e-08,5,2.000000e-08,1.858353e-01,1.000000e+00,2.379864e-03,3,3,2.000000e-03,0.000000e+00
7,10,-0.002871,7.158638e-08,5.809159e-08,8,2.000000e-08,2.997042e-01,1.000000e+00,9.455979e-04,3,3,2.000000e-03,0.000000e+00
8,1,-0.002810,7.036100e-08,5.686345e-08,5,2.000000e-08,3.009458e-01,1.000000e+00,9.543002e-04,3,3,2.000000e-03,0.000000e+00
8,2,-0.002824,7.063684e-08,5.724512e-08,4,2.000000e-08,2.596062e-01,1.000000e+00,1.267582e-03,3,3,2.000000e-03,0.000000e+00
8,6,-0.002781,6.977593e-08,5.638498e-08,1,2.000000e-08,2.593482e-01,1.000000e+00,1.284868e-03,3,3,2.000000e-03,0.000000e+00
8,8,-0.002800,7.015414e-08,5.682983e-08,4,2.000000e-08,2.387200e-01,1.000000e+00,1.502961e-03,3,3,2.000000e-03,0.000000e+00
9,1,-0.002795,7.005749e-08,5.695397e-08,6,2.000000e-08,1.889300e-01,1.000000e+00,2.341896e-03,3,3,2.000000e-03,0.000000e+00
9,2,-0.002822,7.059693e-08,5.720894e-08,5,2.000000e-08,2.583588e-01,1.000000e+00,1.280278e-03,3,3,2.000000e-03,0.000000e+00
9,3,-0.002791,6.997706e-08,5.657371e-08,7,2.000000e-08,2.635896e-01,1.000000e+00,1.241356e-03,3,3,2.000000e-03,0.000000e+00
9,5,-0.002868,7.153129e-08,5.808737e-08,2,2.000000e-08,2.784769e-01,1.000000e+00,1.091629e-03,3,3,2.000000e-03,0.000000e+00
9,7,-0.002802,7.020934e-08,5.718075e-08,6,2.000000e-08,1.764407e-01,1.000000e+00,2.639920e-03,3,3,2.000000e-03,0.000000e+00
10,5,-0.002857,7.130693e-08,5.785550e-08,4,2.000000e-08,2.814225e-01,1.000000e+00,1.072675e-03,3,3,2.000000e-03,0.000000e+00
10,8,-0.002777,6.970039e-08,5.638922e-08,8,2.000000e-08,2.350357e-01,1.000000e+00,1.558334e-03,3,3,2.000000e-03,0.000000e+00
10,9,-0.002780,6.976744e-08,5.639032e-08,6,2.000000e-08,2.547787e-01,1.000000e+00,1.330405e-03,3,3,2.000000e-03,0.000000e+00
10,10,-0.002832,7.079549e-08,5.790839e-08,4,2.000000e-08,1.568611e-01,1.000000e+00,3.195733e-03,3,3,2.000000e-03,0.000000e+00
11,1,-0.002784,6.983641e-08,5.666690e-08,3,2.000000e-08,2.014906e-01,1.000000e+00,2.086490e-03,3,3,2.000000e-03,0.000000e+00
11,2,-0.002789,6.993632e-08,5.644176e-08,3,2.000000e-08,2.996017e-01,1.000000e+00,9.683669e-04,3,3,2.000000e-03,0.000000e+00
